Move TF,Time of move,HTF move this move is in,Direction in relation to HTF move,Previous move on this TF,Line the previous move started from,Did it overshoot or undershoot,What is this move,What line Did it start from,Did it overshoot or undershoot,How did the beginning of this move reverse from the LTF perspective,Any notes
HHTF,04:00,F61%,WM,R,HTF SS,no,RB,HTF SS,yes - slighlty overshot,HDB,this move was in the asian session and carried on into the london session so take the stats witha grain of salt
HTF,11:00,RB,WM,R/HHTF F38%,RR at HTF RR at HHHTF RR,no/yes - it slightly overshot the HTF RR furthest line and the HTF and HHHTF closest lines,RB,SS at HHTF F38%,yes - overshot the HTF SS by a bit as well as the HTF F by a little too,DB,the move was ultimately a 4hr move and the closest daily RR line was touched on this HTF move. So because the HTF move was breaking new grounds on the TF above it; the regression would be then that this move did not have to stop except at a point that stops the move on the highest TF that was not breaking ground or was OM to. However that is the logical conclusion but does that happen?
TTF,11:06,RB,WM,R,F38%,no,RB,SS at HTF SS at HHTF F38%,no,DB - the second down leg made a RB move,this move was a big one and didnt really have much stoping it except a few RR points and the massive daily RR area the price was in currently. It also had a few HHTF amd HTF reistance areas it was heading to however it got stopped at its own RR area. It stalled for a bit at one TTF area prior but the second area stopped it.
TTF,11:20,RB,OM,RB,SS,no,RR within HHHHTF RR area,no - it was right in the middle of the tight RR area,DT - there were multiple swings in the LTF,This move almost looked like two moves on the TTF. It reversed slightly to the up side on the LTF in what was a HTF RR move from the LTF context. That looked like a mini R in the TTF. The previous TTF move and the current HTF were synonymous so the F points were the same. The LTF move made a new move at the LTF RR a bit before the 38% F but then gave way into it.
TTF,11:26,RB,WM,RB,SS,no,R,HTF F38%/F38%,no,HDB - basically had two swings R on the LTF. Second swing was almost down to the first but just kindas missed it,the move had a little mini R as it got to a possible weak RR on the same move as the RR it stopped at. only made a LTF movement though before continuing towards end move
TTF,11:30,RB,OM,R,HTF F38%/F38%,no,R,RR,no,HDT - first swing was a R then a F before a reversal breakthrough,the only reason I can think of that this move didnt go any higher is becauseof the RR but also because it was in the region of the dasily RR also
TTF,11:34,RB,WM,R,RR,no,R,SS,no,DB - multiple swings,stopped at the closest line on the RR
HTF,11:40,RB,OM,RB,HTF SS/HHTF F38%,yes - overshot the HTF SS by a bit as well as the HTF F by a little too,F61%,RR within HHHHTF RR area. Possibly also be HHTF RR if considered as undershooting it,no/yes - depending in what line you consider it being stopped by. The TTF line was what was most accurate but the HHTF RR could be seen as being undershot and stopping it,DT - multiple swings,this move seemingly began from a buildup of RR moves that then just caused the previous HTF move to end. It does not look like there were any more reistance lines on any other TF that would have had an effect on ending the previous move apart from the HHHHTF one on the daily chart. This move stalled a little at the F38% level making a few swings on the TTF. That coincided with a SS point as well.
TTF,11:39,F61%,WM-FM,R,SS,no,DB - multiple swings,RB,RR,no,HDT - R move followed by F then RB,The HTF move at the point this move was being made looked unable to continue very much more as there were a quite a few wicks to the upside. This could have had an effect also? This TTF move also stalled a little on its way down as it got to SS levels. They only made moves onthe LTF however.
TTF,11:48,F61%,OM,RB,RR,no,F38%,HTF F38%/RR,no,HDT - R move followed by F then RB,
TTF,11:51,F61%,WM,F38%,HTF F38%/RR,no,R,F38%,no,DT,
TTF,11:54,F61%,OM,R,F38%,no,R,SS at HTF F38%,no,DB - multiple swings,the LTF had 3 swings to reverse this move whilst prior it was inly two for the move before.
TTF,11:56,F61%,WM,R,SS at HTF F38%,no,RB,RR at HTF F23%,no,HDT - first move was a R followed by F then RB,the LTF moves was quick on this one. each swings happened within 1 to 2 candles in each move. Move stalled slightly on the HTF F50% level on its way down making a LTF move.
HTF,12:00,RB,WM,F61%,RR within HHHHTF RR area. Possibly also be HHTF RR if considered as undershooting it,no/yes - depending in what line you consider it being stopped by. The TTF line was what was most accurate but the HHTF RR could be seen as being undershot and stopping it,F61%,F61% at HTF F38%,no/yes - it slightly overshot the HTF F by a little bit but the HHTF F it was pretty much spot on,HDB - multiple swings but basically R then F with a few R in each move,might have expected a R or a bigger move as this was in the direction of the HHTF move and the HHTF move had not yet reached its RR on its TF.
TTF,12:03,F61%,WM-FM,RB,RR,no,R,HHTF F38%/HTF F61%,no/yes - it slightly overshot the HTF F by a little bit but the HHTF F it was pretty much spot on,DB,move stalled quite a bit just under the HTF F50% line. Went on to break past it though without making any mini TTF move. Carried onto RR point.
TTF,12:12,F61%,OM - must have looked like it was a new HTF move at one point however as the HTF candle this move was in shows a lower wick,R,HHTF F38%/HTF F61%,no/yes - it slightly overshot the HTF F by a little bit but the HHTF F it was pretty much spot on,HTF F50%/F50% - the previous move was a new move on the HTF so the F points are the same for this move,RR,no - perfectly touched the furthest RR line,DT - multiple swings just touching LTF RR line,
TTF,12:15,F61%,WM,HTF F50%/F50% - the previous move was a new move on the HTF so the F points are the same for this move,RR,no - perfectly touched the furthest RR line,R,HTF F50%/F50%,no,OS - R,this move could have been seen as the second up leg to a double top that reversed the HTF move at the HTF F50% level.
TTF,12:16,F61%,OM,R,HTF F50%/F50%,no,R,HTF F50%/RR,no/yes - overshot the HTF F50% level but was within the RR boundaries fine,QDT - F followed by F then RB,
TTF,12:19,F61%,WM,R,HTF F50%/RR,no/yes - overshot the HTF F50% level but was within the RR boundaries fine,HTF F61%/R,SS,no,OS - RB,this move reversed using the LTF RR very precisely. this move was a sort of mix between a R and a RB/HTF F
TTF,12:23,F61%,OM,HTF F61%/R,SS,no,F50%,HTF F61%/TTF resisatnce,no/yes - did not really overshoot or undershoot by a lot but it overshot the RR and undershot the HTF F61%,DT,
TTF,12:25,F61%,WM,F50%,HTF F61%/TTF resisatnce,no/yes - did not really overshoot or undershoot by a lot but it overshot the RR and undershot the HTF F61%,R/HTF F61%,F61% at HTF F23%,no,OS - RB,the moves were creaping up to touching the HTF61% line and this literally just touched it before stopping
HHTF,11:00,WM-FM,RB,HTF SS,yes - slightly overshot,RB,HHHHTF RR,yes - overshot the HHHHTF RR closest line,QDT,This move began from a weird place. It didnt even get to a 4hr RR or its own TF RR level. It stopped basically at a RR line due to a build up in RR moves at that line. This move was also basically a daily move and only needed to reverse at any point the daily move would reverse at; which it was in due to being at a daily resitance area. Therefore I think that was why it could have reversed at any point within that area basically?
HTF,12:25,RB,WM-FM,F61% within HHHTF RR,F61% at HTF F38%,no/yes - it slightly overshot the HTF F by a little bit but the HHTF F it was pretty much spot on,RB,F61%,no,DT - multiple swings,this move probably was not expected at all because the HHTF move was not hit even though this was also a HHTF move it was in. This move reversed the HHTF move so that was just not expected. The move didnt have any trouble getting past the the previous HTF move or any HTF move for that matter. It only started stalling when it got to the HHHTF F points. The HHHTF F points caused mini moves on this HTF move but didnt reverse it until it got to the 50% F point. The HHHTF F points also coincided with HHTF SS levels also.
TTF,12:26,RB,WM-FM,R/HTF F61%,F61% at HTF F23%,no,RB,RR at HTF F61%,no,HDT,what a move! it broke through everything in its way. made a mini move on the HHTF F61% line but that didnt reverse the move. started having trouble when it got to the HHHTF F38% line. It then started to struggle to go down any more and for a few minutes it was quite choppy. That F line was also the furthest line on a distant HTF SS. The move didnt stop however until it got to a distant SS that was a few pips beyond the HHHTF F38% line. There were mini moves on at the HHHTF F line however.
TTF,12:47,RB,OM,RB,HTF F61%/RR,no,R - of mini move,HDT,SS/HHHTF F38%,no/yes - it overshot the HHHTF F38% by a little but the SS it was in the area,OS - RB,it took a lot to stop the previous TTF move and this move did not even reach the TTF F; any of them. it was surprising how when it was having trouble at the actual HHHTF F line; the move didnt stop therer but carried on and made this move at the SS.
TTF,12:49,RB,WM,R - of mini move,SS/HHHTF F38%,no/yes - it overshot the HHHTF F38% by a little but the SS it was in the area,R,TTF mini move RR,yes - slightly overshot the mini move RR point,QDT,the move was a reversal but a massive overshooting one. reached quite a few pips lower than the furthest SS line to reach the HHTF SS line but then quickly reversed in order to still make a wick respecting the SS.
TTF,12:54,RB,OM,R,TTF mini move RR,yes - slightly overshot the mini move RR point,R,HHTF SS/HHHTF F38%/SS,no/yes - overshot the HHHTF F and the SS but did not overshoot the HHTF SS,OS - RB,interesting to see the HHTF SS hit even though there was a little difficulty on getting past just the HHHTF F line
TTF,12:55,RB,WM,R,HHTF SS/HHHTF F38%/SS,no/yes - overshot the HHHTF F and the SS but did not overshoot the HHTF SS,R,HTF F23%/RR,no,DT - multiple swings,was a mini move when the move got to the F38% but then it carried on
TTF,13:01,RB,OM,R,HTF F23%/RR,no,R/HTF F23%,SS/HHTF SS,no,OS - RB,
TTF,13:03,RB,WM,R/HTF F23%,SS/HHTF SS,no,F61%,HTF F23%/RR,no,DT - the second leg of the double top was higher than the first,
TTF,13:06,RB,OM,F61%,HTF F23%/RR,no,F61%,F61% within HTF SS(mini move),no/yes - slightly overshot F61%,OS - slow swing to TTF F,this probably was due to how how a TF SS the price was facing. Thats why there it is at least more one sided in the last few moves
TTF,13:09,RB,WM,F61%,F61% within HTF SS(mini move),RB,F61%,no,OS - RB,
TTF,13:10,RB,OM,RB,F61%,no,F50%,SS at HTF SS(mini move),no,OS,this move could also be viewed as a mini TTF move but later in a few moves this move was used as a RR point hence the decision
TTF,13:12,RB,WM,F50%,SS at HTF SS(mini move),no,RB,F50%,no,DT - slow swing and very small swings as well,this move was the continuation of the HHTF and HTF moves. it broke through everything in its path and only stopped at the next HHHTF F point; the 50%. Stalled slightly at the furthest recent SS line but only made a move on the LTF. more precisely the stop of this move was at the HHHTF F50% within a HHTF SS area and at the closest HTF SS line within the previous two lines.
