,,,,,,,,,,,
,,,30m HHTF,,,,,,,,
,,,,,,,,,,,
move started at 15:00,reversal,at the beginng of the move the HHHTF was in a downwards move. This move was the first move of the new HHHTF move,a reversal ,the 30m support and 4hr 50% fib,it definately overshot the extreme of the HTF Resistance and it slightly overshot the 4hr fib but I would say that that it was a normal overshoot,breakthrough reversal,HTF support,no it reversed just after the closest extremity of the HHTF support. It also reversed from the HTF support within that region,the move reversed with one large reversal breakout on the HTF,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,5m HTF,,,,,,,,
,,,,,,,,,,,
15:00,breakthrough reversal,at the beginning of this move the HHTF move was a down move so the beginning of the up move would have been against the HHTF move. This was the first HTF move of a new HHTF move so it would always be going against it initially. It ended up being a move that was in the sme direction however,it was a reversal breakthrough ,it started from the HTF 50% fib point,"""not really, not exactly what id call a difficicult overshoot at all.""",a reversal breakthrough,both the HHTF and HTF support point,not really,one large breakthrough reversal,the HTF move had a resistance from the HHTF but it isnt plotted on the picture to the left. It was a large area of support and not hte most convincing. But could have prably played a part in stopping the move where it did as the move stopped in that region. Also the move visibly hada bit of difficulty getting to the highest resistance point on the HTF. This was due in part to the TTF having resistance at that point which stalled it for a bit. Also I think because it was in that HHTF area.,
,,,,,,,,,,,
,,,,,,,,,,,
,,,1m TTF,,,,,,,,
,,,,,,,,,,,
15:07,a reversal breakthrough,this was the first move of a new HTF move so initially it was against the HTF move. However it then became the new HTF move so it was in the same direction eventually,reversal breakthrough,both a HTF 50% fib and a TTF resistance,nope for both,reversal breakthrough,"""from a HHTF, HTF and TTF support. Like it was quite exact and they aligned up quite well. The HHTF line looked as if it was a TTF line, like that exact.""",nope,no data but you can physically see there was at lest a double bottom on the LTF which is how th reversal played out.,this was a big move. There where little stalls along the way that looked like the move coud have reversed from. Firstly the fib points are two possibilitie. The yellow one looks like it should be the case more but the blue fib seems to stall the move more at the 50% line. Also the first TTF resistance stalled the move and made visible reversal on the the TTF but not a big enough one to make red candles. Only stopped the move at a higher up TTF resistance. It was also in the region of the HHTF resistance. Thats why I think it stopped even though it didnt stop at a HTF resistance even though it was basically a HTF move.,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
15:27,a reversal breakthrough,opposite direction to it,breakthrough reveversal,"""from a HHTF, HTF and TTF support. Like it was quite exact and they aligned up quite well. The HHTF line looked as if it was a TTF line, like that exact.""",nope,fib,TTF resistance in area of HHTF resisatnce,nope,no data but looks like it might have had maybe two swings on the LTF,was a bit of a tricky move as it reversed from the 23% fib pretty quickly and almost made a mini move again.,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
15:32,a reversal breakthrough,with it,fib,TTF resistance in area of HHTF resisatnce,nope,reversal,(HTF/TTF fib) and TTF support,nope,um the move itself was probably two very quick mini moves on the TTF so that probably looked like massive swings on the LTF but again no data,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
15:35,a reversal breakthrough,against,reversal,(HTF/TTF fib) and TTF support,nope,reversal,TTF resistance ,not really,looks like large one swing but no data,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
15:38,a reversal breakthrough,same direction,reversal,TTF resistance ,not really,breakthrough reversal,TTF support and 23% HTF fib,maybe just undershot the HTF fib but had already touched it on the move prior,yes definately did have multiple swings,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
15:44,a reversal breakthrough,opposite movement,breakthrough reversal,TTF support and 23% HTF fib,maybe just undershot the HTF fib but had already touched it on the move prior,fib move,TTF resistance within HTF rseistance area,it reversed from the middle of both the TTF and HTF resistnace area. Overshot the lower extremity definately,looked like it was one swing but no data,"""this move was probaly just one swing on the LTF, very quick 2 minute move""",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
15:45,a reversal breakthrough,dame direction,fib move,TTF resistance within HTF rseistance area,it reversed from the middle of both the TTF and HTF resistnace area. Overshot the lower extremity definately,reversal,TTF 38% fib,"""ye overshot the fib it reversed from a bit, sort of in the middle of the two points""",do not have data but does not look like multiple swings,relatively quick previous movement. Might have correlation with overshooting or undershooting?,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
15:47,a reversal breakthrough,against ,reversal,TTF 38% fib,"""ye overshot the fib it reversed from a bit, sort of in the middle of the two points""",breakthrough reversal / fib,TTF resistance within a HTF resistance area,no it was in the middle of the TTF resistance area,no data but looks to be one swing,"the reason the move was 2 different types is because there was a previous down move two moves ago visible on the TTF chart however it was only very quick and then reversed again quickly after. On the lower time frame it probably looked like one large swing but not breaking trend. Therefore drawing a fib from that swing there could have been done but doing so didnt show any stall on this move. However drawing the fib from the next option down looks to reverse the price hence depending how you see it it could be a reversal breakthrough or a fib depending on how you read two ""moves"" prior",
,,,,,,,,,,,
,,,,,,,,,,,
15:48,a reversal breakthrough,same direction,breakthrough reversal / fib,TTF resistance within a HTF resistance area,no it was in the middle of the TTF resistance area,no data but looks to be one swing,HTF/TTF fib ,slight undershoot of lst fib line,yes deffinately had a quite a few swings but no data,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,5m HTF,,,,,,,,
,,,,,,,,,,,
15:40,breakthrough reversal,against HHTF direction,a reversal breakthrough,both the HHTF and HTF support point,not really,fib move,HTF resistance within the HHTF resistance,it overshot the lower extremity of the resistance linebut was in the middle of the area basically. It stopped at the TTF resistance area that was within the HTF resistance area,it had a double top on the TTF. ,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,1m TTF,,,,,,,,
,,,,,,,,,,,
15:52,fib move,this was the first move of a new HTF move so initially it was against the HTF move but then it became the HTF move so was in the same direction as it,no data but looks to be one swing,HTF/TTF fib ,slight undershoot of lst fib line,berakthrough reversal,TTF resistance within a HTF resistance area ,it was pretty much exact on the TTF resistance lowerextremity,maybe a double top but no data to know,this move was basically the second leg of a double top. So that was the type of move that reversed the previous HTF move,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
15:56,fib move,"i think initially it was against but lookingat the wick on the HTF candle, it goes higher than the body meaning at one time this might have looked like a new move on a new HTF move",berakthrough reversal,TTF resistance within a HTF resistance area ,it was pretty much exact on the TTF resistance lowerextremity,fib/HTF fib,from TTF support and just undershooting the HTF/HHTF fib line too,did not do either on the on the TTF but could be considered an undershoot of the HTF/HHTF fib,it looks like it might have had a double bottom but i again i dont have the daat,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
